Time_ns,Helix,Sheet,Coil
0.0,0.3125,0.25,0.4375
0.01,0.34375,0.2604166666666667,0.3958333333333333
0.02,0.34375,0.23958333333333334,0.4166666666666667
0.03,0.34375,0.25,0.40625
0.04,0.2708333333333333,0.25,0.4791666666666667
0.05,0.3229166666666667,0.22916666666666666,0.4479166666666667
0.06,0.28125,0.25,0.46875
0.07,0.3125,0.25,0.4375
0.08,0.3020833333333333,0.25,0.4479166666666667
0.09,0.28125,0.25,0.46875
0.1,0.3125,0.25,0.4375
0.11,0.2916666666666667,0.23958333333333334,0.46875
0.12,0.3229166666666667,0.25,0.4270833333333333
0.13,0.3125,0.25,0.4375
0.14,0.3125,0.22916666666666666,0.4583333333333333
0.15,0.3125,0.25,0.4375
0.16,0.3541666666666667,0.25,0.3958333333333333
0.17,0.34375,0.25,0.40625
0.18,0.3333333333333333,0.22916666666666666,0.4375
0.19,0.3125,0.23958333333333334,0.4479166666666667
0.2,0.2916666666666667,0.2604166666666667,0.4479166666666667
0.21,0.3229166666666667,0.25,0.4270833333333333
0.22,0.28125,0.25,0.46875
0.23,0.3541666666666667,0.25,0.3958333333333333
0.24,0.3229166666666667,0.25,0.4270833333333333
0.25,0.3125,0.25,0.4375
