Time_ns,Rg_Protein_Å
0.0,19.274290878726877
0.01,19.52382577945909
0.02,19.592126901660198
0.03,19.65455584224446
0.04,19.591178686787007
0.05,19.726385640160938
0.06,19.63002191821595
0.07,19.658027119233413
0.08,19.58228424446242
0.09,19.681094341881806
0.1,19.666828050542033
0.11,19.780432341252364
0.12,19.758043384275407
0.13,19.72575246280328
0.14,19.696788976496514
0.15,19.66538476931752
0.16,19.753437935669734
0.17,19.664795282131834
0.18,19.638053792803603
0.19,19.672194969026084
0.2,19.669203683675875
0.21,19.6328688393642
0.22,19.653093101736072
0.23,19.609365679614996
0.24,19.636965790058348
0.25,19.735973865445132
