Time_ps,RMSD_Å
0.0,0.0
10.0,0.9162528
20.0,0.908634
30.0,1.2044274
40.0,1.5397705
50.0,1.6225026
60.0,1.5253322
70.0,1.5523651
80.0,1.8375099
90.0,1.7520927
100.0,1.582004
110.0,1.5910347
120.0,1.8717617
130.0,1.5753578
140.0,1.6368611
150.0,1.7467593
160.0,1.7407634
170.0,1.5766681
180.0,1.4472075
190.0,1.4452312
200.0,1.4896266
210.0,1.5462357
220.0,1.3403904
230.0,1.63552
240.0,1.5893302
250.0,1.790908
