Time_ns,RRNA-A__vs__RNA-B_contact,RRNA-A__vs__RNA-B_min_distance_A,RRNA-A__vs__RNA-C_contact,RRNA-A__vs__RNA-C_min_distance_A,RRNA-A__vs__UOE-A_contact,RRNA-A__vs__UOE-A_min_distance_A,RRNA-A__vs__UOE-B_contact,RRNA-A__vs__UOE-B_min_distance_A,RRNA-A__vs__UOE-C_contact,RRNA-A__vs__UOE-C_min_distance_A,RNA-B__vs__RNA-C_contact,RNA-B__vs__RNA-C_min_distance_A,RNA-B__vs__UOE-A_contact,RNA-B__vs__UOE-A_min_distance_A,RNA-B__vs__UOE-B_contact,RNA-B__vs__UOE-B_min_distance_A,RNA-B__vs__UOE-C_contact,RNA-B__vs__UOE-C_min_distance_A,RNA-C__vs__UOE-A_contact,RNA-C__vs__UOE-A_min_distance_A,RNA-C__vs__UOE-B_contact,RNA-C__vs__UOE-B_min_distance_A,RNA-C__vs__UOE-C_contact,RNA-C__vs__UOE-C_min_distance_A,UOE-A__vs__UOE-B_contact,UOE-A__vs__UOE-B_min_distance_A,UOE-A__vs__UOE-C_contact,UOE-A__vs__UOE-C_min_distance_A,UOE-B__vs__UOE-C_contact,UOE-B__vs__UOE-C_min_distance_A
0.1,1,2.4001263082027435,0,22.896556854248047,0,4.053997695446014,0,10.173802375793457,0,9.384846687316895,1,2.49384805560112,0,8.172674179077148,0,4.407743215560913,0,8.431816101074219,0,20.493266582489014,0,7.362919449806213,1,3.9442500472068787,0,5.495896935462952,0,4.626381099224091,0,5.172009468078613
0.11,1,2.511853873729706,0,23.148059844970703,0,4.480983316898346,0,9.58169937133789,0,9.607848525047302,1,2.6310083270072937,0,8.135637640953064,1,3.8223278522491455,0,7.858050465583801,0,20.81594467163086,0,6.920267343521118,1,3.968542218208313,0,5.8707863092422485,0,4.590100646018982,0,5.553609728813171
0.12,1,2.5153526663780212,0,24.642186164855957,0,4.840021431446075,0,10.685806274414062,0,9.379439353942871,1,2.447957843542099,0,7.79071569442749,0,4.030120372772217,0,7.5975000858306885,0,20.63373327255249,0,6.808502674102783,1,3.9224889874458313,0,5.327786207199097,0,4.340716004371643,0,5.526570081710815
0.13,1,2.536475658416748,0,23.907220363616943,0,4.8427897691726685,0,10.766370296478271,0,9.23832654953003,1,2.5154316425323486,0,7.4884021282196045,0,4.407046139240265,0,7.940945625305176,0,19.726110696792603,0,7.070638537406921,0,4.247068762779236,0,5.438346862792969,0,4.257160425186157,0,5.0658488273620605
0.14,1,2.5286558270454407,0,23.725545406341553,0,4.20203298330307,0,10.450361967086792,0,9.651367664337158,1,2.4771152436733246,0,7.430541515350342,0,4.0064603090286255,0,9.169049859046936,0,19.991004467010498,0,7.246704697608948,0,4.011707603931427,0,5.873157382011414,0,4.229288697242737,0,5.440462827682495
0.15,1,2.44711697101593,0,24.171390533447266,0,4.203965067863464,0,11.076524257659912,0,10.17910122871399,1,2.5525081157684326,0,7.665203213691711,0,4.245789647102356,0,9.986274242401123,0,21.52419090270996,0,7.695332169532776,1,3.9606574177742004,0,5.542859435081482,0,4.3137127161026,0,4.912578463554382
0.16,1,2.494671642780304,0,23.66020441055298,0,4.851277470588684,0,9.513047337532043,0,10.264595746994019,1,2.5529253482818604,0,7.92558491230011,0,4.403501451015472,0,9.73617434501648,0,21.47042751312256,0,7.926399111747742,0,4.228026568889618,0,4.986751079559326,0,4.196425378322601,0,5.790688991546631
0.17,1,2.4506500363349915,0,22.911148071289062,0,4.178479611873627,0,10.324838161468506,0,10.207542181015015,1,2.532784342765808,0,7.46869683265686,0,4.528073668479919,0,8.667924404144287,0,22.13740110397339,0,8.510332703590393,1,3.8691219687461853,0,4.878629148006439,0,4.024338126182556,0,5.591300129890442
0.18,1,2.514795958995819,0,24.664385318756104,0,4.368560612201691,0,10.012756586074829,0,9.094333052635193,1,2.5173217058181763,0,8.528448343276978,1,3.918801248073578,0,8.789958357810974,0,20.85226535797119,0,7.535629868507385,0,4.056797027587891,0,4.958168864250183,0,4.507424831390381,0,5.375153422355652
0.19,1,2.5768426060676575,0,23.21542978286743,0,4.214029610157013,0,8.790109753608704,0,9.76297378540039,1,2.5135791301727295,0,8.268145322799683,0,4.206213057041168,0,7.460104823112488,0,21.682329177856445,0,7.544865608215332,0,4.267145395278931,0,4.651760756969452,0,4.211508929729462,0,5.186994671821594
0.2,1,2.4722857773303986,0,23.291878700256348,0,4.154966175556183,0,9.254567623138428,0,9.255667328834534,1,2.4966195225715637,0,8.819187879562378,0,4.133106172084808,0,8.409865498542786,0,20.96005916595459,0,7.602161765098572,0,4.42810982465744,0,4.4341495633125305,1,3.853332996368408,0,5.4269325733184814
0.21,1,2.460344433784485,0,23.26996088027954,1,3.8651034235954285,0,9.851933121681213,0,9.151885509490967,1,2.5288167595863342,0,8.809292316436768,1,3.8794276118278503,0,8.463030457496643,0,21.719839572906494,0,7.997819781303406,0,4.2345356941223145,0,5.0923097133636475,0,4.021403789520264,0,5.8590275049209595
0.22,1,2.476610690355301,0,24.19034242630005,0,4.109053909778595,0,8.68178904056549,0,8.756353259086609,1,2.5460785627365112,0,7.092033624649048,0,4.247845709323883,0,8.113524913787842,0,21.910393238067627,0,8.358286023139954,0,4.107906222343445,0,5.171518921852112,0,4.517023861408234,0,6.551992297172546
0.23,1,2.56074458360672,0,24.126527309417725,1,3.836066424846649,0,8.47034752368927,0,9.294083714485168,1,2.5633227825164795,0,7.126765251159668,1,3.9668354392051697,0,7.588764429092407,0,21.561810970306396,0,8.102560043334961,0,4.018818438053131,0,4.441192448139191,1,3.9985141158103943,0,5.768494606018066
0.24,1,2.5504693388938904,0,22.762606143951416,0,4.026973247528076,0,10.099878311157227,0,9.135291576385498,1,2.4536892771720886,0,7.235839366912842,0,4.169267416000366,0,8.712672591209412,0,20.6060791015625,0,7.716621160507202,0,4.082489311695099,0,4.7636619210243225,0,4.2212072014808655,0,6.107074022293091
0.25,1,2.5390756130218506,0,24.4246244430542,1,3.6754029989242554,0,10.122957229614258,0,8.997164964675903,1,2.4075910449028015,0,8.161380290985107,1,3.816867172718048,0,8.978970646858215,0,20.298070907592773,0,6.708464622497559,0,4.2801061272621155,0,5.077735185623169,0,4.149568974971771,0,5.184997916221619
