Time_ns,Helix_Fraction,Sheet_Fraction,Coil_Fraction,Raw_Contacts,Smoothed_Contacts,Rolling_Corr_Contacts_vs_Sheet
0.0,0.23076923076923078,0.26373626373626374,0.4945054945054945,11,10.807692307692308,0.03660398409275728
0.009999999776482582,0.23076923076923078,0.2857142857142857,0.4725274725274725,10,10.777777777777779,0.10742655980662151
0.019999999552965164,0.21978021978021978,0.23076923076923078,0.5384615384615384,12,10.785714285714286,0.10878928757102836
0.029999999329447746,0.21978021978021978,0.26373626373626374,0.5054945054945055,11,10.793103448275861,0.10999198026027661
0.03999999910593033,0.1978021978021978,0.2857142857142857,0.5054945054945055,12,10.8,0.07485213504287722
0.05000000074505806,0.23076923076923078,0.23076923076923078,0.5274725274725275,11,10.806451612903226,0.05202921980463955
0.05999999865889549,0.23076923076923078,0.23076923076923078,0.5274725274725275,11,10.75,0.04542202634082426
0.07000000029802322,0.23076923076923078,0.2967032967032967,0.46153846153846156,11,10.727272727272727,0.041459636368082746
0.07999999821186066,0.17582417582417584,0.21978021978021978,0.5934065934065934,11,10.735294117647058,0.03433630367359866
0.09000000357627869,0.14285714285714285,0.25274725274725274,0.5934065934065934,11,10.714285714285714,0.09153078753136794
0.10000000149011612,0.18681318681318682,0.25274725274725274,0.5494505494505495,11,10.722222222222221,0.10679293121566066
0.10999999940395355,0.17582417582417584,0.25274725274725274,0.5604395604395604,11,10.702702702702704,0.0776491373205717
0.11999999731779099,0.1978021978021978,0.26373626373626374,0.5274725274725275,11,10.710526315789474,-0.025702156336755926
0.12999999523162842,0.14285714285714285,0.23076923076923078,0.6153846153846154,11,10.717948717948717,-0.12423567150293686
0.14000000059604645,0.15384615384615385,0.25274725274725274,0.5824175824175825,11,10.725,-0.00015544699919906233
0.15000000596046448,0.15384615384615385,0.25274725274725274,0.5824175824175825,9,10.731707317073171,-0.07006217064320788
0.1599999964237213,0.15384615384615385,0.24175824175824176,0.5934065934065934,10,10.785714285714286,-0.14429446173166066
0.17000000178813934,0.18681318681318682,0.2857142857142857,0.5164835164835165,11,10.744186046511627,-0.09502205428089487
0.18000000715255737,0.16483516483516483,0.2857142857142857,0.5384615384615384,11,10.75,-0.10713914362322402
0.1899999976158142,0.0989010989010989,0.24175824175824176,0.6483516483516484,11,10.755555555555556,-0.1616662063732752
0.20000000298023224,0.14285714285714285,0.25274725274725274,0.5934065934065934,11,10.782608695652174,-0.06661528179407639
0.20999999344348907,0.14285714285714285,0.2857142857142857,0.5604395604395604,10,10.787234042553191,-0.128466775223366
0.2199999988079071,0.08791208791208792,0.26373626373626374,0.6373626373626373,11,10.8125,-0.12598025631980128
0.23000000417232513,0.14285714285714285,0.25274725274725274,0.5934065934065934,11,10.83673469387755,-0.13125672013581421
0.23999999463558197,0.13186813186813187,0.23076923076923078,0.6263736263736264,11,10.84,-0.09835106888290804
0.25,0.13186813186813187,0.23076923076923078,0.6263736263736264,9,10.843137254901961,-0.042311903964843654
0.25999999046325684,0.13186813186813187,0.2967032967032967,0.5604395604395604,10,10.843137254901961,-0.08578584797524806
0.27000001072883606,0.14285714285714285,0.23076923076923078,0.6153846153846154,11,10.862745098039216,-0.08948405954700091
0.2800000011920929,0.13186813186813187,0.23076923076923078,0.6263736263736264,11,10.862745098039216,-0.07376462720957914
0.28999999165534973,0.0989010989010989,0.2857142857142857,0.6043956043956044,11,10.843137254901961,-0.08816780832360392
0.30000001192092896,0.14285714285714285,0.23076923076923078,0.6153846153846154,11,10.823529411764707,-0.024026354244710387
0.3100000023841858,0.14285714285714285,0.23076923076923078,0.6153846153846154,9,10.823529411764707,0.07837465139282107
0.3199999928474426,0.14285714285714285,0.2857142857142857,0.5604395604395604,10,10.803921568627452,0.07396718634185245
0.33000001311302185,0.08791208791208792,0.23076923076923078,0.6703296703296703,11,10.784313725490197,0.10908107390677138
0.3400000035762787,0.0989010989010989,0.24175824175824176,0.6483516483516484,10,10.764705882352942,0.17936880656794774
0.3499999940395355,0.18681318681318682,0.25274725274725274,0.5494505494505495,11,10.764705882352942,0.15433937650229676
0.36000001430511475,0.10989010989010989,0.23076923076923078,0.6483516483516484,10,10.745098039215685,0.29133571279578135
0.3700000047683716,0.08791208791208792,0.23076923076923078,0.6703296703296703,11,10.764705882352942,0.2461155594852857
0.3799999952316284,0.13186813186813187,0.23076923076923078,0.6263736263736264,11,10.764705882352942,0.3639149456357207
0.38999998569488525,0.16483516483516483,0.24175824175824176,0.5824175824175825,11,10.803921568627452,0.45220738475817757
0.4000000059604645,0.10989010989010989,0.23076923076923078,0.6483516483516484,11,10.784313725490197,0.42756289782369017
0.4099999964237213,0.17582417582417584,0.24175824175824176,0.5714285714285714,13,10.823529411764707,0.41543629076065247
0.41999998688697815,0.14285714285714285,0.23076923076923078,0.6153846153846154,9,10.843137254901961,0.3213456013894444
