Segment,StartFrame,EndFrame,StartTime_ns,EndTime_ns,MeanContacts,MeanHelix,MeanSheet,MeanCoil
0,0,57,0.000000,0.560000,10.812594,0.158666,0.251591,0.578755
1,57,501,0.570000,5.000000,11.263579,0.172037,0.250619,0.566355
