Time_ns,Helix,Sheet,Coil
0.0,0.23076923076923078,0.26373626373626374,0.4945054945054945
0.01,0.23076923076923078,0.2857142857142857,0.4725274725274725
0.02,0.21978021978021978,0.23076923076923078,0.5384615384615384
0.03,0.21978021978021978,0.26373626373626374,0.5054945054945055
0.04,0.1978021978021978,0.2857142857142857,0.5054945054945055
0.05,0.23076923076923078,0.23076923076923078,0.5274725274725275
0.06,0.23076923076923078,0.23076923076923078,0.5274725274725275
0.07,0.23076923076923078,0.2967032967032967,0.46153846153846156
0.08,0.17582417582417584,0.21978021978021978,0.5934065934065934
0.09,0.14285714285714285,0.25274725274725274,0.5934065934065934
0.1,0.18681318681318682,0.25274725274725274,0.5494505494505495
0.11,0.17582417582417584,0.25274725274725274,0.5604395604395604
0.12,0.1978021978021978,0.26373626373626374,0.5274725274725275
0.13,0.14285714285714285,0.23076923076923078,0.6153846153846154
0.14,0.15384615384615385,0.25274725274725274,0.5824175824175825
0.15,0.15384615384615385,0.25274725274725274,0.5824175824175825
0.16,0.15384615384615385,0.24175824175824176,0.5934065934065934
0.17,0.18681318681318682,0.2857142857142857,0.5164835164835165
0.18,0.16483516483516483,0.2857142857142857,0.5384615384615384
0.19,0.0989010989010989,0.24175824175824176,0.6483516483516484
0.2,0.14285714285714285,0.25274725274725274,0.5934065934065934
0.21,0.14285714285714285,0.2857142857142857,0.5604395604395604
0.22,0.08791208791208792,0.26373626373626374,0.6373626373626373
0.23,0.14285714285714285,0.25274725274725274,0.5934065934065934
0.24,0.13186813186813187,0.23076923076923078,0.6263736263736264
0.25,0.13186813186813187,0.23076923076923078,0.6263736263736264
0.26,0.13186813186813187,0.2967032967032967,0.5604395604395604
0.27,0.14285714285714285,0.23076923076923078,0.6153846153846154
0.28,0.13186813186813187,0.23076923076923078,0.6263736263736264
0.29,0.0989010989010989,0.2857142857142857,0.6043956043956044
0.3,0.14285714285714285,0.23076923076923078,0.6153846153846154
0.31,0.14285714285714285,0.23076923076923078,0.6153846153846154
0.32,0.14285714285714285,0.2857142857142857,0.5604395604395604
0.33,0.08791208791208792,0.23076923076923078,0.6703296703296703
0.34,0.0989010989010989,0.24175824175824176,0.6483516483516484
0.35,0.18681318681318682,0.25274725274725274,0.5494505494505495
0.36,0.10989010989010989,0.23076923076923078,0.6483516483516484
0.37,0.08791208791208792,0.23076923076923078,0.6703296703296703
0.38,0.13186813186813187,0.23076923076923078,0.6263736263736264
0.39,0.16483516483516483,0.24175824175824176,0.5824175824175825
0.4,0.10989010989010989,0.23076923076923078,0.6483516483516484
0.41,0.17582417582417584,0.24175824175824176,0.5714285714285714
0.42,0.14285714285714285,0.23076923076923078,0.6153846153846154
0.43,0.13186813186813187,0.23076923076923078,0.6263736263736264
0.44,0.14285714285714285,0.23076923076923078,0.6153846153846154
0.45,0.0989010989010989,0.2857142857142857,0.6043956043956044
0.46,0.13186813186813187,0.25274725274725274,0.6043956043956044
0.47,0.18681318681318682,0.23076923076923078,0.5714285714285714
0.48,0.17582417582417584,0.2967032967032967,0.5164835164835165
0.49,0.21978021978021978,0.23076923076923078,0.5384615384615384
0.5,0.13186813186813187,0.2857142857142857,0.5714285714285714
0.51,0.23076923076923078,0.2857142857142857,0.4725274725274725
0.52,0.16483516483516483,0.25274725274725274,0.5714285714285714
0.53,0.15384615384615385,0.25274725274725274,0.5824175824175825
0.54,0.16483516483516483,0.23076923076923078,0.5934065934065934
0.55,0.18681318681318682,0.25274725274725274,0.5494505494505495
0.56,0.18681318681318682,0.23076923076923078,0.5714285714285714
0.57,0.15384615384615385,0.25274725274725274,0.5824175824175825
0.58,0.17582417582417584,0.25274725274725274,0.5604395604395604
0.59,0.18681318681318682,0.2857142857142857,0.5164835164835165
0.6,0.15384615384615385,0.23076923076923078,0.6043956043956044
0.61,0.10989010989010989,0.25274725274725274,0.6263736263736264
0.62,0.21978021978021978,0.2857142857142857,0.4835164835164835
0.63,0.17582417582417584,0.25274725274725274,0.5604395604395604
0.64,0.15384615384615385,0.23076923076923078,0.6043956043956044
0.65,0.16483516483516483,0.23076923076923078,0.5934065934065934
0.66,0.18681318681318682,0.2857142857142857,0.5164835164835165
0.67,0.24175824175824176,0.23076923076923078,0.5164835164835165
0.68,0.21978021978021978,0.25274725274725274,0.5164835164835165
0.69,0.18681318681318682,0.2857142857142857,0.5164835164835165
0.7,0.1978021978021978,0.2857142857142857,0.5054945054945055
0.71,0.16483516483516483,0.2857142857142857,0.5384615384615384
0.72,0.15384615384615385,0.25274725274725274,0.5824175824175825
0.73,0.1978021978021978,0.25274725274725274,0.5384615384615384
0.74,0.21978021978021978,0.23076923076923078,0.5384615384615384
0.75,0.18681318681318682,0.26373626373626374,0.5384615384615384
0.76,0.15384615384615385,0.23076923076923078,0.6043956043956044
0.77,0.2087912087912088,0.24175824175824176,0.5384615384615384
0.78,0.21978021978021978,0.23076923076923078,0.5384615384615384
0.79,0.15384615384615385,0.21978021978021978,0.6153846153846154
0.8,0.18681318681318682,0.23076923076923078,0.5714285714285714
0.81,0.18681318681318682,0.24175824175824176,0.5604395604395604
0.82,0.15384615384615385,0.2967032967032967,0.5384615384615384
0.83,0.1978021978021978,0.23076923076923078,0.5604395604395604
0.84,0.18681318681318682,0.23076923076923078,0.5714285714285714
0.85,0.18681318681318682,0.2857142857142857,0.5164835164835165
0.86,0.18681318681318682,0.24175824175824176,0.5604395604395604
0.87,0.21978021978021978,0.23076923076923078,0.5384615384615384
0.88,0.18681318681318682,0.23076923076923078,0.5714285714285714
0.89,0.15384615384615385,0.23076923076923078,0.6043956043956044
0.9,0.23076923076923078,0.25274725274725274,0.5054945054945055
0.91,0.23076923076923078,0.23076923076923078,0.5274725274725275
0.92,0.15384615384615385,0.23076923076923078,0.6043956043956044
0.93,0.14285714285714285,0.25274725274725274,0.5934065934065934
0.94,0.18681318681318682,0.2857142857142857,0.5164835164835165
0.95,0.21978021978021978,0.23076923076923078,0.5384615384615384
0.96,0.1978021978021978,0.2857142857142857,0.5054945054945055
0.97,0.1978021978021978,0.23076923076923078,0.5604395604395604
0.98,0.15384615384615385,0.23076923076923078,0.6043956043956044
0.99,0.14285714285714285,0.2857142857142857,0.5604395604395604
1.0,0.10989010989010989,0.2857142857142857,0.5934065934065934
1.01,0.15384615384615385,0.26373626373626374,0.5714285714285714
1.02,0.18681318681318682,0.23076923076923078,0.5714285714285714
1.03,0.14285714285714285,0.2857142857142857,0.5604395604395604
1.04,0.18681318681318682,0.23076923076923078,0.5714285714285714
1.05,0.21978021978021978,0.23076923076923078,0.5384615384615384
1.06,0.14285714285714285,0.23076923076923078,0.6153846153846154
1.07,0.15384615384615385,0.23076923076923078,0.6043956043956044
1.08,0.17582417582417584,0.25274725274725274,0.5604395604395604
1.09,0.10989010989010989,0.25274725274725274,0.6263736263736264
1.1,0.21978021978021978,0.25274725274725274,0.5164835164835165
1.11,0.10989010989010989,0.2857142857142857,0.5934065934065934
1.12,0.15384615384615385,0.23076923076923078,0.6043956043956044
1.13,0.15384615384615385,0.2857142857142857,0.5494505494505495
1.14,0.14285714285714285,0.2857142857142857,0.5604395604395604
1.15,0.10989010989010989,0.2857142857142857,0.5934065934065934
1.16,0.10989010989010989,0.2857142857142857,0.5934065934065934
1.17,0.10989010989010989,0.23076923076923078,0.6483516483516484
1.18,0.17582417582417584,0.23076923076923078,0.5824175824175825
1.19,0.15384615384615385,0.25274725274725274,0.5824175824175825
1.2,0.14285714285714285,0.23076923076923078,0.6153846153846154
1.21,0.14285714285714285,0.25274725274725274,0.5934065934065934
1.22,0.17582417582417584,0.25274725274725274,0.5604395604395604
1.23,0.10989010989010989,0.23076923076923078,0.6483516483516484
1.24,0.18681318681318682,0.25274725274725274,0.5494505494505495
1.25,0.1978021978021978,0.23076923076923078,0.5604395604395604
1.26,0.14285714285714285,0.23076923076923078,0.6153846153846154
1.27,0.17582417582417584,0.25274725274725274,0.5604395604395604
1.28,0.18681318681318682,0.25274725274725274,0.5494505494505495
1.29,0.18681318681318682,0.2967032967032967,0.5054945054945055
1.3,0.16483516483516483,0.25274725274725274,0.5714285714285714
1.31,0.13186813186813187,0.23076923076923078,0.6263736263736264
1.32,0.18681318681318682,0.25274725274725274,0.5494505494505495
1.33,0.14285714285714285,0.2967032967032967,0.5494505494505495
1.34,0.21978021978021978,0.23076923076923078,0.5384615384615384
1.35,0.1978021978021978,0.23076923076923078,0.5604395604395604
1.36,0.15384615384615385,0.25274725274725274,0.5824175824175825
1.37,0.1978021978021978,0.23076923076923078,0.5604395604395604
1.38,0.18681318681318682,0.24175824175824176,0.5604395604395604
1.39,0.21978021978021978,0.23076923076923078,0.5384615384615384
1.4,0.18681318681318682,0.2857142857142857,0.5164835164835165
1.41,0.21978021978021978,0.23076923076923078,0.5384615384615384
1.42,0.18681318681318682,0.23076923076923078,0.5714285714285714
1.43,0.15384615384615385,0.23076923076923078,0.6043956043956044
1.44,0.15384615384615385,0.25274725274725274,0.5824175824175825
1.45,0.15384615384615385,0.23076923076923078,0.6043956043956044
1.46,0.10989010989010989,0.23076923076923078,0.6483516483516484
1.47,0.14285714285714285,0.23076923076923078,0.6153846153846154
1.48,0.21978021978021978,0.24175824175824176,0.5274725274725275
1.49,0.18681318681318682,0.23076923076923078,0.5714285714285714
1.5,0.21978021978021978,0.26373626373626374,0.5054945054945055
1.51,0.14285714285714285,0.2967032967032967,0.5494505494505495
1.52,0.15384615384615385,0.25274725274725274,0.5824175824175825
1.53,0.17582417582417584,0.23076923076923078,0.5824175824175825
1.54,0.21978021978021978,0.2857142857142857,0.4835164835164835
1.55,0.23076923076923078,0.23076923076923078,0.5274725274725275
1.56,0.14285714285714285,0.23076923076923078,0.6153846153846154
