Time_ns,Rg_Protein_Å,Rg_Ligand_Å,Rg_Complex_Å
0.0,12.345196794029476,2.9283130085904023,12.875192152784702
0.01,12.497344889615308,2.959988708164119,13.011253131125962
0.02,12.512998108871313,2.9041302239946716,13.050227619510297
0.03,12.607154254270975,2.9311232528808846,13.105837974476373
0.04,12.561730757035125,2.924751957155847,13.083696456289516
0.05,12.496735856090364,2.944938980896565,13.072043410454299
0.06,12.455508137257254,2.9307058396569086,13.022959045080803
0.07,12.481122906819149,2.9251983847447653,13.051994049949329
0.08,12.5147713028682,2.932574274148373,13.116042535634234
0.09,12.509541460267696,2.8943619338102544,13.043319305499843
0.1,12.513454642476901,2.9405630472164046,13.04155188658169
0.11,12.658840048552957,2.900246047969963,13.177747077495141
0.12,12.630631009711157,2.9291163799688262,13.180467663060915
0.13,12.748030294558504,2.908338738330563,13.259956154962316
0.14,12.854606966014867,2.920088620554046,13.345961423485736
0.15,12.770754681391566,2.9537657766332437,13.266153834097935
0.16,12.838274437220946,2.9050468468658917,13.336028150757125
0.17,12.82431296213489,2.892687926334594,13.362404881526025
0.18,12.872099977827505,2.935533392251031,13.40786600171855
0.19,12.784389636886615,2.882033399387028,13.345484030702517
0.2,12.750960161170754,2.9447860062472238,13.356661011155378
0.21,12.608465593309507,2.915865617756471,13.167849252178945
0.22,12.722517441877706,2.92540467907921,13.24849016764457
0.23,12.710534371369109,2.9448448111654684,13.251929193796057
0.24,12.743682087947183,2.895907004376621,13.253283325206812
0.25,12.76396173977255,2.8934069404899927,13.314948714720705
0.26,12.747317265077502,2.9310164348726246,13.304192143037296
0.27,12.786013544205346,2.9243280440354376,13.346665117556423
0.28,12.72977175135506,2.9284365034726108,13.276325027266232
0.29,12.70590238976525,2.913147736427655,13.26568666519429
0.3,12.795727412926272,2.960791327245305,13.371844533687122
0.31,12.653865133505903,2.9025723182554364,13.273866730153333
0.32,12.62677769771832,2.8837108201496946,13.223202737606938
0.33,12.681346219838982,2.9129431599941134,13.233313167629197
0.34,12.694929853158357,2.9523112084835006,13.25835394196674
0.35,12.775233673971005,2.926325738122113,13.298966579141238
0.36,12.634065800573318,2.917502287039861,13.189134192999992
0.37,12.75923618691857,2.926422886859113,13.299838424928652
0.38,12.62417832803239,2.949642741023876,13.16726057170982
0.39,12.62837694524162,2.949711096869845,13.137520366833211
0.4,12.615376311699492,2.9286532615610295,13.187056534062528
0.41,12.656320682857752,2.918353254509892,13.180274175652647
0.42,12.598367077208438,2.9040959406629314,13.222387502737408
0.43,12.658876620831856,2.9259940980126182,13.239452458019198
0.44,12.74891852903812,2.8934213571776155,13.289636512104623
0.45,12.730646553925038,2.932229426079531,13.277133034924004
0.46,12.720957361335728,2.939246524017705,13.250652339318894
0.47,12.726836449410586,2.9629579920948994,13.233495844778634
0.48,12.858428603153875,2.931319487421742,13.32561906738656
0.49,12.823719813998043,2.9196546961037573,13.30304087428565
0.5,12.754219536461333,2.9411117522834616,13.277977340234584
0.51,12.79547822543508,2.906673876715244,13.248699641672149
0.52,12.759241377218697,2.9189440171442973,13.259110519596142
0.53,12.797013101559056,2.864707101463096,13.24108611558451
0.54,12.81479145468699,2.9303939047169116,13.251513919355782
0.55,12.660016803151011,2.9230485353920783,13.129995486945337
0.56,12.682377460673887,2.8763409014279118,13.196900657706664
0.57,12.633341522572781,2.935083405017791,13.175799084084336
0.58,12.747821198629596,2.899490587459393,13.252900464577763
0.59,12.712831130351468,2.91492945073962,13.193978571187566
0.6,12.671878166313642,2.946949429469834,13.15399442273744
0.61,12.71326558214958,2.9201821362471847,13.20425125956654
0.62,12.69248525880506,2.934436783365472,13.189078921074195
0.63,12.592061778495596,2.9009486797162056,13.108916632858048
0.64,12.692701615086674,2.8631806871137764,13.18980833220756
0.65,12.65628932671968,2.9534087656736996,13.14949327954455
0.66,12.580653056630949,2.933237583036396,13.0728776450568
0.67,12.586655887021298,2.9419562684658467,13.098139570364483
0.68,12.645046205624208,2.9024729975882657,13.10290287398674
0.69,12.504838794264352,2.8750743776895726,13.021103468492544
