Time_ns,Protein_RMSD,Ligand_RMSD
2.0,1.2111195,0.16132739
2.01,1.1811267,0.3024669
2.02,1.1044706,0.24186336
2.03,1.1049771,0.3167199
2.04,1.2497152,0.6300591
2.05,1.2283553,0.32029516
2.06,1.361907,0.34024775
2.07,1.3620439,0.2576032
2.08,1.4098742,0.31935945
2.09,1.1810118,0.2507984
2.1,1.2258823,0.24920225
2.11,1.0719239,0.18532695
2.12,1.1272763,0.2771705
2.13,1.1621559,0.19475919
2.14,1.3469988,0.16859943
2.15,1.2820994,0.27726328
2.16,1.1969255,0.20996094
2.17,1.1846383,0.50156677
2.18,1.1721064,0.25244412
2.19,1.3157743,0.13180262
2.2,1.2503119,0.5636023
2.21,1.2947712,0.253201
2.22,1.3527386,0.50541854
2.23,1.2078394,0.35217053
2.24,1.2984194,0.5032402
2.25,1.1536194,0.24325497
2.26,1.1442934,0.18299666
2.27,1.0591149,0.2250921
2.28,1.1714408,0.3118287
2.29,1.0068228,0.22430468
2.3,0.9144482,0.2643468
2.31,0.9839133,0.31861988
2.32,1.1057746,0.118147284
2.33,0.9694358,0.26605964
2.34,1.1226345,0.3451216
2.35,1.0521768,0.25672492
2.36,1.1513392,0.36359054
2.37,1.0738044,0.34346876
2.38,1.075587,0.19102511
2.39,0.99721223,0.14352916
2.4,1.0569355,0.28914896
2.41,1.148656,0.27125123
2.42,1.0084213,0.22571284
2.43,0.94094783,0.21135184
2.44,1.0400866,0.28811643
2.45,1.153046,0.37314063
2.46,1.1755152,0.19609155
2.47,1.1671345,0.1683499
2.48,1.0984058,0.2948601
2.49,1.243827,0.21519682
2.5,1.3285334,0.16463423
2.51,1.3679314,0.1603991
2.52,1.285137,0.21552311
2.53,1.1925548,0.1467112
2.54,1.2677639,0.2649111
2.55,1.31061,0.32441366
2.56,1.2966423,0.23571235
2.57,1.1103039,0.34733963
2.58,1.0982516,0.18627584
2.59,1.0888095,0.312267
2.6,1.1288695,0.34902808
2.61,1.1108687,0.20248263
2.62,1.2219759,0.25603235
2.63,1.332878,0.21259205
2.64,1.2636247,0.22012597
2.65,1.2195733,0.27409756
2.66,1.2841208,0.4396587
2.67,1.1546477,0.32075912
2.68,1.0723033,0.25245902
2.69,1.0881709,0.31491998
2.7,1.0263027,0.20727524
2.71,1.0229769,0.32612267
2.72,1.0434555,0.3157656
2.73,1.0189083,0.29739833
2.74,0.9756419,0.3221254
2.75,0.90914893,0.27402657
2.76,0.97874755,0.15588818
2.77,0.9417043,0.32587442
2.78,0.9437365,0.19865054
2.79,1.1887101,0.13701671
2.8,1.072746,0.256407
2.81,1.0782791,0.29766613
2.82,1.0309671,0.2871217
2.83,1.1264037,0.14435299
2.84,1.2695813,0.13653505
2.85,1.2603736,0.2539705
2.86,1.2963415,0.31530625
2.87,1.1669457,0.20120195
2.88,1.376937,0.33550888
2.89,1.2673492,0.22178993
2.9,1.1795466,0.33685818
2.91,1.0651169,0.2787258
2.92,1.0182757,0.53250945
2.93,0.98146343,0.30468866
2.94,0.87350285,0.19445613
