Atom,RMSF
1442,0.91723514
1443,1.126076
1444,1.2099361
1445,1.13019
1446,0.9038495
1447,0.7587128
1448,0.6179356
1449,0.58853185
1450,0.6326589
1451,0.66972464
1452,0.62650764
1453,0.6820339
1454,0.9879335
1455,1.3013154
1456,1.3208587
1457,0.94855654
1458,0.7472265
1459,0.6803005
1460,0.8839419
